,source,name,link,salary_min,salary_max,salary_currency
147,hh.ru,Разработчик JS/C# (middle/senior),https://vladimir.hh.ru/vacancy/37938484?query=Java%20script%20developer,50000,150000,руб.
148,hh.ru,Разработчик JS/C# (middle/senior),https://vladimir.hh.ru/vacancy/37938507?query=Java%20script%20developer,50000,150000,руб.
149,hh.ru,Web-программист (Web-разработчик),https://vladimir.hh.ru/vacancy/37824780?query=Java%20script%20developer,30000,80000,руб.
150,superjob.ru,JavaScript/PHP Developer (Full time remote work),/vakansii/javascript-34152523.html,,,
151,superjob.ru,Node.js developer,/vakansii/node-33961515.html,,,
152,superjob.ru,Senior/Middle Frontend Developer (в Focus Calendar),/vakansii/senior-34230154.html,,150000,руб./месяц
153,superjob.ru,Frontend developer,/vakansii/frontend-developer-34139450.html,,120000,руб./месяц
154,superjob.ru,Middle / Senior PHP developer,/vakansii/middle-34189837.html,900,1100,руб./час
155,superjob.ru,Frontend разработчик / Frontend Developer / React,/vakansii/frontend-razrabotchik-34069402.html,,,
156,superjob.ru,Magento 2 Front-End Developer,/vakansii/magento-2-front-end-developer-34113030.html,,210000,руб./месяц
157,superjob.ru,Python Developer,/vakansii/python-developer-34168955.html,160000,200000,руб./месяц
158,superjob.ru,Senior Backend Developer,/vakansii/senior-backend-developer-34069324.html,,,
159,superjob.ru,Frontend developer,/vakansii/frontend-developer-34182309.html,,120000,руб./месяц
160,superjob.ru,Senior iOS developer,/vakansii/senior-ios-developer-34203695.html,,,
161,superjob.ru,Fullstack.NET разработчик,/vakansii/fullstack-33930521.html,,210000,руб./месяц
162,superjob.ru,Typescript / Fullstack Developer,/vakansii/typescript-34168475.html,160000,190000,руб./месяц
163,superjob.ru,Magento 2 Full-Stack Developer,/vakansii/magento-2-full-stack-developer-34113035.html,,210000,руб./месяц
164,superjob.ru,Magento 2 Back-End Developer,/vakansii/magento-2-back-end-developer-34113007.html,,210000,руб./месяц
165,superjob.ru,Middle Backend Developer (Golang),/vakansii/middle-backend-developer-34144888.html,,120000,руб./месяц
166,superjob.ru,Magento 2 Front-End Developer,/vakansii/magento-2-front-end-developer-34108506.html,,210000,руб./месяц
167,superjob.ru,Magento 2 Back-End Developer,/vakansii/magento-2-back-end-developer-34108536.html,,210000,руб./месяц
168,superjob.ru,Senior WEB-Developer,/vakansii/senior-web-developer-34069278.html,,,
